Predicted Values	True Values
-0.134016	-0.147753
-0.048342	0.198627
0.119082	0.060064
-0.157572	-0.106168
0.056530	0.032394
-0.116683	0.170904
0.118459	-0.092307
-0.224177	-0.147753
0.066425	0.060064
-0.085240	-0.064637
-0.077964	0.170904
0.127805	-0.133891
-0.260817	0.004671
0.211129	0.046256
-0.226527	-0.230869
0.005346	0.184765
0.043157	0.046256
-0.117636	-0.064637
0.044321	-0.009190
-0.129606	0.087787
0.097964	-0.036914
-0.194381	0.129372
0.181644	0.018533
-0.210913	-0.369432
-0.082886	0.087787
0.123594	0.018533
-0.196831	0.115511
0.190754	0.018533
-0.215334	-0.133891
0.068228	0.073926
-0.093043	-0.120030
-0.090013	-0.036914
0.007339	0.184765
-0.010090	0.254073
0.112168	-0.175476
-0.234884	-0.120030
0.144801	-0.175476
-0.287231	-0.286315
0.041366	0.351051
0.135076	0.226350
-0.049664	0.004671
0.078327	-0.147753
-0.168552	-0.120030
0.042666	0.101649
-0.072776	0.143234
0.063817	0.046256
-0.074310	-0.009190
-0.012263	-0.078445
-0.081608	-0.300124
-0.170856	0.170904
0.198288	-0.050775
-0.269593	-0.217008
0.106562	0.129372
-0.065678	0.032394
-0.021715	0.364912
0.179857	0.254073
-0.034968	-0.161614
-0.018838	-0.369432
-0.186329	-0.064637
0.122138	0.073926
-0.152548	0.060064
0.075548	0.212488
0.024119	-0.092307
-0.153267	0.184765
0.219499	-0.300124
-0.400874	-0.147753
0.294895	0.448029
-0.057033	-0.272454
-0.174248	-0.078445
0.163060	0.184765
-0.142000	0.240211
0.183932	0.115511
-0.152638	-0.133891
0.032744	-0.244731
-0.229249	-0.175476
0.018144	0.170904
0.029650	0.184765
-0.043633	0.406444
0.245526	-0.106168
-0.254372	-0.189284
0.184388	0.115511
-0.158681	-0.050775
0.000510	0.170904
0.049839	-0.078445
-0.182505	-0.120030
0.068026	0.115511
-0.098502	0.157095
0.081784	0.018533
-0.144539	0.101649
0.118835	-0.078445
-0.201233	-0.272454
-0.041850	0.115511
0.059860	-0.106168
-0.212408	0.198627
0.264605	0.198627
-0.160205	-0.120030
0.034920	0.157095
0.009325	-0.092307
-0.159850	-0.036914
0.077295	0.101649
-0.116545	0.060064
0.068038	-0.064637
-0.183639	0.060064
0.122940	0.143234
-0.107300	0.073926
0.028310	-0.036914
-0.090384	-0.355570
-0.178625	0.101649
0.199617	0.212488
-0.123309	0.184765
0.159480	0.046256
-0.148179	-0.189284
-0.012540	0.073926
-0.001460	-0.023052
-0.129057	0.115511
0.121912	-0.009190
-0.206457	-0.092307
0.090909	0.046256
-0.133767	0.212488
0.127615	0.087787
-0.124211	-0.230869
-0.078902	0.157095
0.140771	-0.050775
-0.246133	-0.023052
0.175385	0.087787
-0.182902	-0.064637
0.031298	-0.064637
-0.127742	-0.203146
-0.090145	0.046256
0.047089	0.073926
-0.110740	0.101649
0.122106	-0.147753
-0.249016	-0.092307
0.137522	0.060064
-0.147441	0.046256
0.061575	0.018533
-0.092616	-0.272454
-0.135210	0.046256
0.138119	-0.092307
-0.252601	0.004671
0.194531	0.018533
-0.230479	-0.120030
0.074097	0.115511
-0.046806	0.004671
-0.059098	0.087787
0.060757	-0.147753
-0.221830	-0.133891
0.113972	-0.133891
-0.245041	-0.050775
0.130478	0.198627
-0.056439	0.129372
0.035559	0.073926
-0.002511	-0.189284
-0.162281	0.004671
0.125124	-0.161614
-0.276285	0.101649
0.269645	0.240211
-0.147320	-0.078445
0.017352	0.073926
-0.001849	-0.175476
-0.200142	0.060064
0.176211	-0.327847
-0.392284	-0.383293
0.186878	0.295604
-0.049727	0.115511
0.009996	0.198627
0.104806	0.032394
-0.136646	-0.120030
0.050846	-0.175476
-0.214812	-0.036914
0.118683	0.101649
-0.130335	-0.023052
0.001201	0.018533
-0.017903	0.032394
-0.068698	0.143234
0.075437	-0.092307
-0.192490	-0.147753
0.049094	-0.147753
-0.184809	0.004671
0.108500	0.129372
-0.081386	0.143234
0.074890	-0.092307
-0.158332	-0.313985
-0.066429	0.240211
0.167631	0.046256
-0.198846	0.157095
0.253584	0.087787
-0.209948	-0.161614
0.053181	0.184765
0.000240	-0.189284
-0.217044	0.115511
0.231657	0.129372
-0.227636	-0.244731
0.020388	-0.147753
-0.171366	-0.120030
-0.021930	0.087787
-0.001794	0.046256
-0.085293	0.032394
0.068248	0.018533
-0.131769	-0.064637
0.023291	-0.064637
-0.115828	0.046256
0.033345	-0.106168
-0.140733	-0.036914
0.056975	0.101649
-0.052052	0.032394
-0.014708	0.032394
-0.025072	-0.410963
-0.237962	0.087787
0.279655	0.032394
-0.289045	0.018533
0.232295	0.309466
-0.077658	-0.452548
-0.233601	0.073926
0.314079	0.073926
-0.323754	-0.036914
0.215840	0.018533
-0.271132	-0.230869
0.025026	0.198627
0.020214	0.018533
-0.153728	0.309466
0.274376	-0.009190
-0.318411	-0.410963
0.092778	0.004671
-0.127969	-0.078445
-0.068781	0.212488
0.137362	0.004671
-0.213583	-0.300124
0.023378	0.032394
-0.073906	0.060064
-0.002527	-0.009190
-0.076315	-0.036914
-0.045356	-0.106168
-0.049088	0.157095
0.061749	0.143234
-0.037822	-0.106168
-0.080261	0.073926
0.056371	-0.106168
-0.170622	0.101649
0.161425	0.101649
-0.165107	-0.064637
0.046345	-0.023052
-0.123763	-0.410963
-0.176899	0.115511
0.219591	0.143234
-0.204741	0.184765
0.249964	0.212488
-0.131249	-0.244731
-0.060295	0.115511
0.098078	-0.078445
-0.250668	0.254073
0.321670	0.073926
-0.308656	-0.397155
0.044381	0.046256
-0.067127	-0.064637
-0.127778	0.143234
0.139629	-0.023052
-0.246549	-0.092307
0.148614	0.212488
-0.091726	0.046256
0.005085	0.018533
-0.049501	0.032394
-0.051571	-0.023052
-0.014014	0.004671
-0.073709	-0.133891
-0.088694	-0.009190
0.001953	0.281743
0.065118	-0.023052
-0.122350	0.184765
0.185259	0.115511
-0.154662	-0.133891
0.021384	-0.133891
-0.156413	-0.341708
-0.117744	0.170904
0.166297	0.032394
-0.215545	0.004671
0.174385	-0.064637
-0.270110	-0.106168
0.122558	0.184765
-0.070397	-0.175476
-0.147579	0.267935
0.275579	0.018533
-0.295784	-0.050775
0.244758	0.073926
-0.247561	-0.203146
0.001352	0.226350
0.071510	-0.175476
-0.275393	0.046256
0.278071	0.198627
-0.225424	-0.161614
0.039462	-0.023052
-0.117315	-0.244731
-0.152525	-0.078445
0.061705	0.309466
0.010890	0.157095
0.040066	-0.217008
-0.184245	-0.050775
0.123663	-0.078445
-0.216575	-0.009190
0.100607	0.170904
-0.037094	-0.078445
-0.089428	-0.133891
-0.026011	-0.106168
-0.099444	0.254073
0.154380	0.129372
-0.134525	-0.050775
0.086163	-0.175476
-0.212120	-0.106168
0.069835	0.101649
-0.066761	-0.023052
-0.056388	0.281743
0.170615	-0.230869
-0.321290	-0.161614
0.242830	0.170904
-0.191275	0.087787
0.113356	0.184765
-0.035909	-0.355570
-0.224111	-0.133891
0.155606	-0.133891
-0.311247	-0.036914
0.221445	0.073926
-0.236149	-0.120030
0.056164	0.129372
-0.012404	-0.106168
-0.164031	0.170904
0.221613	0.018533
-0.267409	-0.203146
0.112594	0.018533
-0.144095	-0.092307
-0.033263	0.101649
0.036619	-0.036914
-0.161901	-0.064637
0.078246	-0.023052
-0.170923	-0.078445
0.040093	0.032394
-0.086087	0.073926
0.019060	0.004671
-0.054866	-0.175476
-0.117434	-0.147753
-0.012056	-0.064637
-0.099453	-0.023052
0.008474	-0.036914
-0.078495	0.101649
0.070659	-0.106168
-0.171988	-0.120030
0.055139	0.101649
-0.049369	-0.161614
-0.123833	0.004671
0.099248	-0.009190
-0.157511	-0.009190
0.085647	-0.203146
-0.244198	-0.064637
0.156189	0.032394
-0.189958	-0.327847
-0.079505	0.101649
0.138461	-0.120030
-0.272083	0.073926
0.286129	0.101649
-0.242720	-0.064637
0.124428	0.046256
-0.143922	-0.327847
-0.138049	0.157095
0.206007	0.032394
-0.265912	-0.120030
0.161287	-0.106168
-0.271179	-0.078445
0.122406	0.226350
-0.043529	-0.092307
-0.125959	-0.050775
0.080222	-0.161614
-0.251792	-0.064637
0.172634	0.115511
-0.157383	-0.064637
0.009644	-0.133891
-0.119234	-0.050775
0.000436	0.212488
0.074521	0.060064
-0.113604	-0.106168
0.023645	-0.161614
-0.157001	-0.106168
0.023304	0.018533
-0.066434	0.157095
0.065914	-0.023052
-0.123534	-0.244731
-0.059299	-0.064637
-0.014541	-0.023052
-0.089391	0.143234
0.099790	-0.106168
-0.197442	-0.106168
0.103790	-0.078445
-0.192710	-0.133891
0.034727	0.198627
0.024876	-0.161614
-0.194576	-0.078445
0.149818	-0.203146
-0.297294	-0.175476
0.154204	0.087787
-0.153388	-0.023052
0.037131	0.060064
-0.029302	-0.272454
-0.197556	0.032394
0.214653	0.073926
-0.229737	0.060064
0.192368	0.101649
-0.157811	-0.189284
-0.042349	0.115511
0.075818	-0.120030
-0.240003	-0.217008
0.075963	-0.133891
-0.220595	0.060064
0.176126	0.157095
-0.123085	-0.106168
-0.030486	-0.064637
-0.035881	-0.397155
-0.249846	-0.203146
0.159262	0.212488
-0.080131	0.198627
0.117918	-0.078445
-0.151718	-0.244731
-0.011297	0.018533
-0.015691	-0.036914
-0.111041	-0.036914
0.046291	-0.092307
-0.157942	-0.036914
0.078881	0.073926
-0.075678	-0.009190
-0.020221	-0.133891
-0.117810	-0.217008
-0.071989	0.073926
0.083589	0.143234
-0.061279	-0.009190
0.003915	-0.133891
-0.115857	-0.092307
0.001501	-0.078445
-0.105036	0.018533
0.035228	-0.050775
-0.121238	-0.064637
0.018155	0.143234
0.023468	-0.078445
-0.134792	-0.023052
0.068103	-0.286315
-0.266506	-0.036914
0.221160	0.240211
-0.112209	0.032394
0.049835	0.212488
0.055598	-0.258592
-0.252910	-0.064637
0.218122	-0.064637
-0.314498	-0.036914
0.206890	0.157095
-0.164904	-0.244731
-0.085969	0.032394
0.075085	-0.036914
-0.214061	0.115511
0.215948	-0.161614
-0.349340	-0.175476
0.208864	0.226350
-0.113575	0.046256
0.010402	0.143234
0.051253	-0.258592
-0.269562	0.046256
0.287143	-0.050775
-0.350873	0.060064
0.294548	0.240211
-0.184969	-0.341708
-0.116425	0.101649
0.173235	-0.120030
-0.332185	-0.036914
0.258254	0.046256
-0.291297	-0.036914
0.161748	0.073926
-0.177582	-0.189284
-0.069623	0.129372
0.094379	-0.161614
-0.295157	-0.133891
0.207675	0.004671
-0.253424	0.060064
0.175576	0.129372
-0.132897	-0.161614
-0.063739	0.129372
0.106688	0.018533
-0.188659	-0.078445
0.099204	-0.106168
-0.222381	-0.092307
0.077152	0.073926
-0.087327	0.101649
0.038332	0.198627
0.033746	-0.064637
-0.143566	-0.161614
0.026941	-0.023052
-0.110618	0.073926
0.051153	0.087787
-0.057593	0.073926
0.026220	-0.092307
-0.129522	-0.064637
0.010862	0.046256
-0.059688	0.046256
-0.015275	0.101649
0.006546	0.018533
-0.057112	0.060064
0.027146	-0.258592
-0.234203	-0.147753
0.104075	0.032394
-0.155470	-0.092307
0.006587	0.170904
0.050016	0.087787
-0.073960	-0.078445
-0.013399	-0.244731
-0.179124	-0.009190
0.123657	-0.023052
-0.202034	-0.064637
0.092510	0.226350
0.009897	-0.106168
-0.155584	0.143234
0.217568	-0.036914
-0.279912	-0.023052
0.200254	0.046256
-0.223235	-0.286315
-0.035291	0.184765
0.096058	-0.078445
-0.243613	-0.009190
0.203467	0.018533
-0.263233	-0.189284
0.065630	-0.009190
-0.134497	-0.078445
-0.039583	0.004671
-0.011008	-0.092307
-0.149705	0.115511
0.179269	-0.120030
-0.292300	-0.064637
0.200829	0.157095
-0.140246	-0.078445
-0.019907	0.184765
0.101570	-0.009190
-0.178244	-0.009190
0.128620	0.032394
-0.178692	-0.023052
0.071018	0.087787
-0.095708	0.032394
-0.001663	-0.092307
-0.109296	-0.203146
-0.109710	0.032394
0.070579	0.046256
-0.129144	0.032394
0.069751	-0.050775
-0.144339	0.129372
0.136401	0.184765
-0.069176	-0.092307
-0.052743	0.018533
0.020118	-0.106168
-0.167218	0.073926
0.146525	0.198627
-0.093094	0.032394
0.027274	-0.023052
-0.094083	0.032394
0.020210	-0.023052
-0.112835	-0.120030
-0.067109	0.198627
0.116147	0.018533
-0.175291	0.004671
0.122325	0.018533
-0.166241	-0.023052
0.042549	0.046256
-0.086832	-0.009190
-0.017715	0.143234
0.032183	-0.078445
-0.167510	0.004671
0.121257	-0.106168
-0.253713	-0.009190
0.159591	0.267935
-0.051591	-0.036914
-0.063717	0.101649
0.097113	0.032394
-0.156425	0.060064
0.121930	-0.189284
-0.290238	-0.230869
0.098203	0.004671
-0.158530	0.101649
0.091739	0.337189
0.072293	-0.050775
-0.154419	0.004671
0.169835	-0.189284
-0.310308	-0.133891
0.176711	0.143234
-0.148085	-0.175476
-0.067278	0.018533
0.050699	0.032394
-0.132148	0.032394
0.080436	0.101649
-0.105887	0.212488
0.149398	-0.120030
-0.246554	-0.120030
0.126233	-0.009190
-0.175881	-0.230869
-0.076464	0.323328
0.219601	-0.023052
-0.263634	-0.092307
0.196192	0.101649
-0.181400	-0.230869
-0.054742	0.115511
0.060928	0.087787
-0.110850	-0.036914
0.034930	-0.050775
-0.152013	0.073926
0.119950	0.032394
-0.181727	0.032394
0.091656	0.032394
-0.117568	-0.161614
-0.086603	0.018533
0.051879	-0.147753
-0.212595	0.046256
0.168346	0.170904
-0.118157	0.018533
0.052221	0.101649
-0.036188	-0.120030
-0.120730	-0.050775
0.036862	-0.009190
-0.137301	-0.009190
0.055931	-0.050775
-0.156545	0.018533
0.080381	0.060064
-0.103870	-0.036914
-0.022804	0.060064
0.004485	-0.106168
-0.150394	-0.189284
-0.009165	-0.064637
-0.086418	0.087787
0.054456	-0.009190
-0.116891	0.032394
0.075320	0.087787
-0.071037	0.018533
-0.001321	0.226350
0.086822	-0.078445
-0.188324	-0.175476
0.051508	-0.147753
-0.188800	-0.064637
0.067209	0.115511
-0.071092	-0.009190
-0.028439	0.073926
0.025464	0.087787
-0.057732	0.087787
0.053352	-0.175476
-0.215144	-0.161614
0.068370	0.046256
-0.095251	0.004671
-0.000727	0.129372
0.026880	-0.064637
-0.143618	0.060064
0.125261	0.004671
-0.185372	-0.175476
0.006294	-0.078445
-0.116256	-0.036914
-0.001792	0.018533
-0.039118	-0.092307
-0.100197	0.032394
0.066455	0.018533
-0.130281	0.087787
0.113614	0.032394
-0.138278	-0.189284
-0.046856	-0.175476
-0.087933	0.060064
0.044951	0.143234
-0.020773	-0.120030
-0.113389	0.060064
0.114816	0.060064
-0.140198	0.004671
0.066594	-0.078445
-0.165312	-0.023052
0.061893	0.087787
-0.070642	-0.050775
-0.044531	-0.036914
-0.035191	-0.217008
-0.178240	0.073926
0.173158	-0.009190
-0.228090	-0.064637
0.117858	0.101649
-0.104646	0.004671
0.009798	0.157095
0.038251	-0.203146
-0.225690	-0.036914
0.179333	-0.023052
-0.254554	-0.064637
0.135845	0.046256
-0.164344	-0.009190
0.038183	0.226350
0.047620	-0.189284
-0.233442	0.018533
0.230473	0.060064
-0.255487	-0.133891
0.091081	0.046256
-0.115219	-0.023052
-0.025337	0.087787
0.016283	-0.175476
-0.209695	-0.064637
0.133192	-0.078445
-0.256103	0.046256
0.199924	0.212488
-0.105852	0.046256
0.033787	0.087787
-0.000023	-0.258592
-0.213930	-0.106168
0.127109	0.143234
-0.121759	0.309466
0.206419	-0.078445
-0.251112	-0.230869
0.099040	0.046256
-0.118271	-0.189284
-0.119663	0.018533
0.089923	-0.189284
-0.267699	0.032394
0.248918	0.198627
-0.161587	-0.036914
0.050943	0.143234
-0.018254	0.073926
-0.040749	-0.009190
0.000305	-0.189284
-0.188429	-0.036914
0.111805	-0.050775
-0.215852	0.060064
0.156566	-0.064637
-0.234630	-0.230869
0.006454	0.143234
0.036600	0.101649
-0.066476	0.309466
0.200100	-0.050775
-0.233941	-0.230869
0.111218	-0.092307
-0.207714	-0.092307
0.046532	0.101649
-0.049564	-0.064637
-0.097832	0.212488
0.184471	-0.064637
-0.273272	0.004671
0.232849	0.184765
-0.174658	-0.161614
-0.031214	-0.133891
-0.075401	-0.147753
-0.114030	0.060064
0.084832	0.046256
-0.147496	0.267935
0.233263	0.046256
-0.224822	-0.161614
0.090158	0.060064
-0.090728	-0.092307
-0.092273	0.101649
0.099663	-0.078445
-0.215155	0.032394
0.175516	0.046256
-0.213238	-0.009190
0.107599	0.046256
-0.149150	0.004671
0.026558	0.129372
0.000963	-0.230869
-0.216937	0.018533
0.199244	0.046256
-0.236310	0.157095
0.228725	0.129372
-0.179437	-0.244731
-0.044078	-0.078445
-0.041334	-0.230869
-0.194918	0.129372
0.221783	0.060064
-0.244856	0.073926
0.226629	0.143234
-0.170041	-0.092307
0.013892	0.170904
0.034271	-0.036914
-0.170727	0.018533
0.140224	-0.009190
-0.219172	-0.023052
0.115642	-0.050775
-0.217224	0.004671
0.097835	0.143234
-0.075667	-0.050775
-0.071976	0.143234
0.114147	-0.009190
-0.194698	0.226350
0.252709	0.267935
-0.109180	-0.133891
-0.018013	-0.106168
-0.073234	-0.106168
-0.099054	0.143234
0.098053	0.073926
-0.148893	-0.050775
0.053482	-0.203146
-0.231768	-0.230869
0.022312	0.046256
-0.057853	0.212488
0.062230	0.281743
0.085146	0.018533
-0.071817	0.060064
0.115963	0.046256
-0.136399	-0.106168
-0.010778	-0.106168
-0.116171	-0.036914
-0.003540	0.004671
-0.064614	0.004671
-0.028982	0.087787
0.002054	0.018533
-0.084164	0.087787
0.068338	-0.078445
-0.169673	0.004671
0.098136	0.143234
-0.073245	0.060064
0.022608	-0.009190
-0.081717	-0.300124
-0.160081	0.032394
0.134577	0.004671
-0.209993	-0.050775
0.106146	0.032394
-0.145883	0.143234
0.129155	0.267935
-0.004487	-0.189284
-0.162301	-0.064637
0.116960	-0.203146
-0.295530	0.032394
0.263610	0.046256
-0.271735	-0.036914
0.143912	0.115511
-0.120672	-0.203146
-0.111662	0.129372
0.145300	-0.313985
-0.376633	0.170904
0.453852	0.212488
-0.305349	-0.258592
0.085457	0.143234
-0.039911	-0.577249
-0.355607	0.032394
0.423713	0.309466
-0.267900	0.087787
0.223151	0.323328
-0.056798	-0.023052
-0.044587	-0.175476
-0.094616	-0.313985
-0.212209	0.212488
0.277523	0.115511
-0.274009	0.060064
0.246344	0.295604
-0.086294	-0.106168
-0.089719	-0.244731
-0.065720	-0.189284
-0.143235	0.018533
0.076544	0.254073
-0.001536	0.434167
0.209242	0.060064
-0.116062	-0.217008
0.042209	-0.327847
-0.213865	-0.161614
0.046140	0.212488
0.022863	0.115511
-0.016274	0.295604
0.171538	-0.092307
-0.235252	-0.217008
0.102675	-0.133891
-0.245106	-0.120030
0.072351	0.267935
0.041412	0.101649
-0.052006	0.143234
0.128624	-0.050775
-0.210948	-0.272454
0.009579	-0.189284
-0.182306	-0.133891
0.011049	0.004671
-0.050380	0.157095
0.054472	0.101649
-0.023206	-0.230869
-0.161145	0.060064
0.162730	-0.064637
-0.248330	-0.078445
0.137143	0.004671
-0.163923	-0.147753
-0.007451	0.129372
0.035623	-0.064637
-0.157552	0.073926
0.146948	-0.009190
-0.222657	-0.050775
0.134557	0.018533
-0.178803	0.032394
0.083446	0.170904
-0.031030	-0.106168
-0.128826	0.073926
0.137823	-0.120030
-0.276771	0.101649
0.263982	0.212488
-0.174462	-0.133891
-0.000323	0.046256
-0.013171	-0.050775
-0.134234	0.032394
0.080284	-0.120030
-0.240660	0.157095
0.256724	0.073926
-0.254890	-0.203146
0.056234	-0.050775
-0.133660	-0.106168
-0.068134	0.184765
0.124667	-0.009190
-0.194862	0.129372
0.224386	0.170904
-0.159645	-0.078445
0.041465	0.018533
-0.084039	-0.078445
-0.089764	-0.036914
0.005983	-0.133891
-0.176155	0.115511
0.173535	0.018533
-0.228139	-0.078445
0.102502	0.060064
-0.118432	-0.161614
-0.092321	0.046256
0.078999	0.032394
-0.139407	0.073926
0.117319	-0.036914
-0.193835	-0.106168
0.064026	0.032394
-0.111278	-0.050775
-0.034544	0.073926
0.027557	0.060064
-0.082465	0.226350
0.155995	0.046256
-0.165426	-0.064637
0.076550	0.046256
-0.111248	-0.036914
-0.025375	0.143234
0.044044	-0.078445
-0.181324	-0.050775
0.091241	0.087787
-0.122852	0.060064
0.053471	-0.023052
-0.138466	-0.064637
0.002170	-0.120030
-0.130211	-0.050775
0.003687	0.129372
0.009642	-0.036914
-0.114090	0.101649
0.119617	-0.175476
-0.255364	-0.064637
0.167199	0.157095
-0.129307	0.060064
0.064809	0.170904
-0.001248	-0.161614
-0.163762	0.073926
0.170878	-0.189284
-0.338376	-0.161614
0.201502	0.018533
-0.247305	0.032394
0.142602	0.364912
0.039431	-0.106168
-0.173009	-0.064637
0.152668	-0.230869
-0.333857	0.046256
0.311364	0.281743
-0.170520	0.060064
0.104928	0.157095
-0.022390	-0.341708
-0.247452	-0.203146
0.133736	-0.189284
-0.320250	0.129372
0.318931	0.378774
-0.098811	0.060064
0.078407	-0.036914
-0.080829	-0.272454
-0.158907	0.073926
0.165592	0.073926
-0.204814	0.157095
0.227285	0.226350
-0.108678	-0.147753
-0.049719	-0.383293
-0.182012	-0.397155
-0.111687	0.004671
0.076356	0.351051
0.057526	0.364912
0.154790	-0.023052
-0.096625	-0.203146
0.023562	-0.369432
-0.232694	-0.078445
0.132718	0.351051
0.030816	0.087787
-0.019407	0.032394
0.064395	-0.147753
-0.187601	-0.175476
0.016744	-0.175476
-0.201692	0.198627
0.233797	0.240211
-0.105309	-0.120030
-0.004514	0.254073
0.148329	-0.064637
-0.253044	-0.230869
0.096577	-0.272454
-0.283990	0.004671
0.221393	0.434167
0.001903	0.073926
-0.008348	0.018533
0.053233	-0.355570
-0.294430	-0.203146
0.189975	0.101649
-0.191227	0.267935
0.227199	0.351051
0.000137	-0.217008
-0.127575	-0.286315
0.006250	-0.341708
-0.266180	0.004671
0.230388	0.157095
-0.178161	0.115511
0.167474	0.032394
-0.156211	-0.258592
-0.073465	-0.036914
0.008419	-0.147753
-0.206929	0.073926
0.207820	0.184765
-0.124877	0.087787
0.115804	0.129372
-0.063646	-0.078445
-0.069803	-0.203146
-0.097216	-0.258592
-0.133217	0.129372
0.164662	0.143234
-0.133558	0.087787
0.126823	-0.023052
-0.167987	-0.092307
0.026484	0.032394
-0.068509	0.004671
-0.035036	-0.023052
-0.040607	-0.147753
-0.118703	0.240211
0.201972	0.018533
-0.233170	-0.120030
0.112629	0.004671
-0.160390	0.004671
0.050841	0.087787
-0.053123	-0.203146
-0.150382	0.101649
0.164626	0.032394
-0.218466	0.212488
0.269442	0.129372
-0.214877	-0.106168
0.078974	-0.023052
-0.135116	-0.410963
-0.189466	0.212488
0.290668	0.018533
-0.325615	-0.023052
0.270395	0.060064
-0.273351	-0.300124
-0.012183	0.212488
0.083195	0.004671
-0.199259	-0.009190
0.159350	-0.009190
-0.241691	0.046256
0.186866	0.281743
-0.077947	0.060064
0.003604	0.046256
-0.000321	-0.217008
-0.219698	-0.300124
0.021957	-0.106168
-0.159543	0.073926
0.098863	0.364912
0.072517	0.046256
-0.077135	-0.120030
0.033801	0.157095
-0.000489	-0.244731
-0.201917	-0.106168
0.113118	0.157095
-0.085577	-0.133891
-0.068879	0.184765
0.124722	-0.023052
-0.201591	-0.203146
0.016184	0.073926
-0.054617	-0.009190
-0.034686	0.170904
0.057094	0.184765
-0.016842	0.143234
0.071250	-0.023052
-0.143708	-0.092307
0.034204	-0.175476
-0.208390	-0.133891
0.026467	0.337189
0.116097	0.004671
-0.174020	0.046256
0.190952	0.004671
-0.229176	-0.120030
0.070007	0.032394
-0.119270	-0.244731
-0.123669	0.073926
0.125616	0.226350
-0.073836	0.267935
0.179967	-0.189284
-0.296868	-0.341708
0.100278	-0.050775
-0.171118	-0.106168
-0.016262	0.170904
0.079230	0.157095
-0.063014	0.309466
0.215565	-0.175476
-0.303076	-0.466409
0.060349	-0.161614
-0.191507	-0.023052
0.070489	0.420305
0.152972	0.198627
-0.044761	0.143234
0.190961	-0.244731
-0.309978	-0.563387
0.009276	-0.203146
-0.153578	0.184765
0.152249	0.558868
0.173122	0.087787
-0.061788	-0.009190
0.186279	-0.120030
-0.265226	-0.410963
-0.023299	-0.036914
-0.041843	0.184765
0.034276	0.184765
0.044548	0.087787
-0.029992	-0.092307
-0.059123	-0.120030
-0.104518	0.143234
0.093215	-0.023052
-0.164794	-0.064637
0.054357	-0.120030
-0.164155	-0.147753
0.001557	0.018533
-0.067931	-0.092307
-0.082340	0.157095
0.114380	0.157095
-0.074696	0.157095
0.135105	-0.147753
-0.244128	-0.258592
0.057231	-0.133891
-0.178018	-0.078445
0.034163	0.351051
0.128386	-0.133891
-0.246235	-0.120030
0.201102	-0.217008
-0.344700	-0.133891
0.206584	0.267935
-0.090458	-0.078445
-0.057534	0.157095
0.146407	-0.009190
-0.217803	0.032394
0.195110	-0.133891
-0.330067	-0.133891
0.176781	0.295604
-0.049498	0.060064
-0.032846	0.046256
0.047511	-0.258592
-0.269687	-0.023052
0.224029	-0.050775
-0.307056	0.087787
0.257527	0.351051
-0.073326	0.087787
0.043706	0.170904
0.076215	-0.438686
-0.343345	-0.313985
0.205899	-0.092307
-0.308209	0.073926
0.254171	0.531145
0.042364	0.198627
0.052121	-0.023052
0.038224	-0.313985
-0.225003	-0.147753
0.125475	-0.133891
-0.274969	-0.036914
0.184983	0.309466
-0.021901	0.129372
0.011136	0.018533
0.002380	-0.189284
-0.182636	-0.161614
0.031757	-0.217008
-0.213597	-0.064637
0.131446	0.240211
-0.026934	0.226350
0.084571	0.018533
-0.063198	-0.064637
-0.017578	-0.106168
-0.099051	-0.120030
-0.050398	0.226350
0.122348	-0.050775
